observation_date,ND000349Q
2014-10-01,3194.333
2015-01-01,3053.001
2015-04-01,3146.141
2015-07-01,3160.144
2015-10-01,3279.503
2016-01-01,3133.256
2016-04-01,3218.626
2016-07-01,3235.328
2016-10-01,3361.802
2017-01-01,3196.926
2017-04-01,3307.471
2017-07-01,3322.961
2017-10-01,3463.267
2018-01-01,3301.491
2018-04-01,3406.120
2018-07-01,3413.286
2018-10-01,3534.029
2019-01-01,3337.243
2019-04-01,3470.725
2019-07-01,3499.618
2019-10-01,3640.548
2020-01-01,3381.353
2020-04-01,3166.291
2020-07-01,3437.888
2020-10-01,3609.191
2021-01-01,3486.640
2021-04-01,3708.485
2021-07-01,3717.492
2021-10-01,3874.614
2022-01-01,3668.977
2022-04-01,3814.387
2022-07-01,3815.071
2022-10-01,3937.756
2023-01-01,3766.549
2023-04-01,3898.891
2023-07-01,3911.196
2023-10-01,4045.061
2024-01-01,3871.364
2024-04-01,4006.161
2024-07-01,4024.465
2024-10-01,4186.457
